gid	HCT116_ctrl1	HCT116_ctrl2	HCT116_ctrl3	HCT116_curcumin1	HCT116_curcumin2	HCT116_curcumin3
ENSG00000142611	893	537	550	58	26	133
ENSG00000284616	0	0	0	0	0	0
ENSG00000157911	610	537	638	346	339	365
ENSG00000260972	0	0	0	0	0	0
ENSG00000224340	2	0	0	0	0	0
ENSG00000229280	0	0	0	0	0	0
ENSG00000142655	1590	1829	1777	346	316	380
ENSG00000232596	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0
ENSG00000149527	187	66	115	80	47	100
ENSG00000171621	952	823	852	277	131	164
ENSG00000272235	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0
ENSG00000224387	0	0	0	0	0	0
ENSG00000142583	0	0	9	49	27	26
ENSG00000284674	0	0	0	0	0	0
ENSG00000224338	0	0	0	0	0	0
ENSG00000287727	16	1	8	15	0	0
ENSG00000173614	545	481	615	116	135	91
ENSG00000215720	0	0	0	0	0	0
ENSG00000241326	0	0	0	0	0	0
ENSG00000233623	0	4	0	0	0	0
ENSG00000204624	268	127	233	38	50	41
ENSG00000142606	47	12	76	42	50	81
ENSG00000225931	4	0	0	0	6	0
ENSG00000171729	924	815	1012	136	139	100
ENSG00000229393	2	0	0	0	0	0
ENSG00000287586	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0
ENSG00000157916	3049	3200	3148	3151	2741	2589
ENSG00000157881	1406	1485	1354	164	143	143
ENSG00000225387	0	0	0	0	0	0
ENSG00000048707	3352	2603	2204	443	358	463
ENSG00000225196	0	0	0	0	0	0
ENSG00000162444	558	627	798	999	1195	1056
ENSG00000279625	0	0	0	0	0	0
ENSG00000180758	1132	930	855	199	60	112
ENSG00000184677	2682	2345	2166	548	584	642
ENSG00000285833	0	0	0	0	0	0
ENSG00000131697	1497	1260	1480	448	489	621
ENSG00000280222	0	0	0	0	0	0
ENSG00000285945	0	0	0	0	0	0
ENSG00000197921	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0
ENSG00000234397	0	0	0	0	0	0
ENSG00000204138	2530	2516	2727	564	326	299
ENSG00000233419	0	0	0	1	0	12
ENSG00000225011	0	0	0	0	0	0
ENSG00000284676	0	0	0	0	0	0
ENSG00000090020	3420	1711	2137	986	1267	1143
ENSG00000158006	869	791	685	184	185	166
ENSG00000196581	0	0	0	0	0	0
ENSG00000169403	196	92	186	694	215	166
ENSG00000171612	957	1167	1003	1374	1317	1176
ENSG00000270927	0	0	0	0	0	0
ENSG00000188910	1596	1200	1438	1398	614	520
ENSG00000230523	2	1	0	0	0	0
ENSG00000233234	0	0	0	0	0	0
ENSG00000189337	1284	857	904	135	167	224
ENSG00000028137	12	23	30	18	2	14
ENSG00000283259	0	0	0	0	0	0
ENSG00000130939	2904	3803	2711	1948	1519	1430
ENSG00000175147	89	46	106	44	33	10
ENSG00000127472	0	0	0	2	0	0
ENSG00000060656	5257	3762	5310	1506	1890	2316
ENSG00000230214	0	0	0	0	0	0
ENSG00000189280	165	137	164	42	37	44
ENSG00000134698	1107	729	1091	210	192	178
ENSG00000272420	4	8	24	0	0	0
ENSG00000273274	86	82	69	14	8	11
ENSG00000236648	0	0	0	6	0	0
ENSG00000232273	8	8	2	185	118	73
ENSG00000130940	601	420	504	70	87	88
ENSG00000163879	24	22	40	32	40	30
ENSG00000227527	2	4	3	4	0	0
ENSG00000116954	432	476	565	142	227	168
ENSG00000163873	0	0	0	0	0	0
ENSG00000117215	0	0	0	0	0	0
ENSG00000230163	0	0	0	0	0	0
ENSG00000227538	0	0	0	0	0	0
ENSG00000044012	0	0	0	0	8	0
ENSG00000179051	14422	10639	12401	4137	4231	4047
ENSG00000215895	6	2	0	4	2	9
ENSG00000126067	4930	8354	6543	5485	5641	5222
ENSG00000274944	0	2	0	0	0	0
ENSG00000272078	0	2	10	2	5	0
ENSG00000230451	0	0	0	0	0	2
ENSG00000231606	0	0	0	0	0	0
ENSG00000254553	0	0	0	0	0	0
ENSG00000284653	0	0	0	0	0	0
ENSG00000237749	2	0	4	0	2	4
ENSG00000276747	0	0	0	12	0	6
ENSG00000228776	0	0	0	2	0	0
ENSG00000159339	6	0	2	12	3	6
ENSG00000261781	0	0	0	0	0	0
ENSG00000158315	7	2	1	0	0	0
ENSG00000186973	0	0	0	0	0	10
ENSG00000146463	3922	3181	3212	1194	1117	1369
ENSG00000142686	1513	1281	1518	310	172	284
ENSG00000224751	0	0	0	0	0	0
ENSG00000117148	0	10	0	0	0	4
ENSG00000230585	4	6	0	3	7	26
ENSG00000117000	1272	1371	1358	2894	1362	905
ENSG00000284989	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	8	0
ENSG00000092853	829	1813	706	159	245	285
ENSG00000255811	1	0	0	0	0	0
ENSG00000134697	1788	2181	1976	1607	1512	1531
ENSG00000187513	0	0	0	135	58	54
ENSG00000225671	0	0	0	0	6	0
ENSG00000116151	262	213	272	87	179	103
ENSG00000006555	233	238	259	38	36	46
ENSG00000236111	0	0	0	2	2	2
ENSG00000214114	416	562	545	236	239	272
ENSG00000116544	4	0	18	34	4	6
ENSG00000236723	0	4	0	2	0	0
ENSG00000232467	0	0	0	0	0	0
ENSG00000117016	1196	1179	1202	368	274	254
ENSG00000163866	877	950	907	117	119	107
ENSG00000237130	0	1	0	0	0	0
ENSG00000232335	1	0	0	0	0	0
ENSG00000232762	2	3	0	0	0	0
ENSG00000162384	609	578	737	561	655	753
ENSG00000162391	42	17	36	10	12	8
ENSG00000117859	2069	2016	2266	799	909	1110
ENSG00000162396	608	599	530	72	10	10
ENSG00000284686	0	0	0	3	0	0
ENSG00000162378	2626	2259	2451	204	244	266
ENSG00000259818	4	2	4	80	36	6
ENSG00000234318	0	0	0	4	0	0
ENSG00000227485	0	0	0	0	0	0
ENSG00000236646	0	0	0	0	0	0
ENSG00000243725	19	20	18	2	3	23
ENSG00000171872	0	0	0	21	6	0
ENSG00000162407	355	289	325	69	17	68
ENSG00000163877	743	759	750	2783	1407	1031
ENSG00000228929	10	10	18	22	20	12
ENSG00000224570	0	0	0	0	0	0
ENSG00000224980	0	0	0	0	0	0
ENSG00000278967	0	0	6	0	0	0
ENSG00000157184	675	677	752	86	90	76
ENSG00000198815	3892	3400	3814	1099	820	744
ENSG00000134744	2371	1954	2047	470	332	415
ENSG00000233910	0	0	0	2	0	0
ENSG00000287703	0	0	0	0	0	0
ENSG00000283039	0	0	0	0	8	0
ENSG00000229294	0	0	0	2	0	0
ENSG00000236973	0	0	0	0	0	0
ENSG00000277397	0	0	0	0	0	0
ENSG00000162385	341	607	412	1370	956	831
ENSG00000275350	0	0	0	0	0	0
ENSG00000123080	232	606	471	589	333	299
ENSG00000285778	0	0	0	0	0	0
ENSG00000233407	0	0	0	0	0	0
ENSG00000162598	10	10	4	0	0	0
ENSG00000280317	0	0	0	0	0	0
ENSG00000162415	303	164	196	51	21	38
ENSG00000162600	364	322	409	195	161	155
ENSG00000116704	896	902	799	175	71	167
ENSG00000157193	2988	2838	2861	1015	1003	863
ENSG00000116205	399	432	453	82	61	107
ENSG00000233994	2	0	0	0	4	0
ENSG00000227556	0	0	0	0	0	0
ENSG00000162607	2010	2202	2100	1186	1019	1061
ENSG00000285954	0	0	0	0	0	0
ENSG00000233333	0	0	0	0	0	0
ENSG00000154027	0	2	6	9	14	4
ENSG00000234108	0	0	0	0	0	0
ENSG00000232676	0	0	0	0	0	0
ENSG00000213579	0	0	0	0	0	0
ENSG00000137960	2	0	4	199	34	41
ENSG00000237852	0	0	0	0	0	0
ENSG00000132855	8	0	0	24	2	2
ENSG00000270549	0	0	1	0	0	0
ENSG00000237163	0	0	0	0	0	0
ENSG00000229636	0	0	0	0	0	0
ENSG00000116675	925	777	790	196	172	236
ENSG00000162433	2230	2344	2416	814	969	953
ENSG00000213625	1185	1013	1236	389	455	549
ENSG00000233664	0	0	0	0	0	0
ENSG00000158966	1221	1157	1084	505	539	542
ENSG00000213703	8	0	1	2	0	0
ENSG00000153898	474	463	445	203	255	340
ENSG00000117069	104	87	122	9	4	24
ENSG00000125703	390	451	483	59	118	150
ENSG00000234144	0	0	0	0	0	0
ENSG00000277670	0	0	0	0	0	0
ENSG00000227466	0	0	0	0	0	0
ENSG00000230498	0	0	2	0	0	0
ENSG00000162618	10	0	2	0	0	0
ENSG00000224493	0	0	0	0	0	0
ENSG00000131233	2	0	0	0	0	0
ENSG00000229225	0	0	0	0	0	0
ENSG00000225598	0	0	0	0	0	0
ENSG00000137941	1133	900	1157	349	402	418
ENSG00000286548	6	10	15	4	9	0
ENSG00000272094	0	0	0	0	0	0
ENSG00000228853	0	0	0	0	0	0
ENSG00000284895	0	0	0	0	0	0
ENSG00000117174	912	893	1009	172	176	221
ENSG00000184313	61	11	37	0	0	2
ENSG00000288543	0	2	0	0	0	0
ENSG00000122420	0	0	0	14	7	0
ENSG00000143013	2791	1475	2842	1728	1237	1254
ENSG00000226084	22	14	56	70	82	71
ENSG00000134748	1477	2109	1656	1775	1212	1083
ENSG00000142892	982	1134	1054	674	710	855
ENSG00000229332	0	0	0	0	0	0
ENSG00000227937	0	0	0	0	0	0
ENSG00000229752	0	0	0	0	0	0
ENSG00000233216	0	0	0	0	0	0
ENSG00000197273	0	0	0	0	5	0
ENSG00000226804	0	0	0	0	0	0
ENSG00000230728	1	0	0	0	0	0
ENSG00000232846	0	0	0	4	6	0
ENSG00000230787	4	2	0	0	2	0
ENSG00000116641	2296	2547	2383	1149	1388	1549
ENSG00000172260	0	0	0	0	0	0
ENSG00000285473	0	0	0	0	8	0
ENSG00000234578	0	0	0	0	0	0
ENSG00000229505	0	0	0	0	0	0
ENSG00000228187	0	2	0	0	0	4
ENSG00000182183	1	0	0	0	6	0
ENSG00000236407	0	0	0	0	0	0
ENSG00000271949	0	0	0	0	0	0
ENSG00000227062	0	0	0	0	0	0
ENSG00000067334	1073	1631	1219	2638	1880	1580
ENSG00000235011	0	0	0	0	0	0
ENSG00000213559	0	0	0	0	0	0
ENSG00000287587	0	0	0	5	0	0
ENSG00000232882	9	0	0	2	0	0
ENSG00000171502	14	4	18	4	6	2
ENSG00000116157	0	8	9	18	9	0
ENSG00000143036	534	305	649	627	472	649
ENSG00000065243	2874	2660	3074	849	631	814
ENSG00000226960	0	0	0	0	0	0
ENSG00000234080	0	0	0	6	0	0
ENSG00000285409	0	0	0	0	0	0
ENSG00000117528	2119	2977	2688	461	434	679
ENSG00000271723	4	2	0	1	0	3
ENSG00000036549	1736	1513	2042	769	653	750
ENSG00000225191	0	0	0	0	0	0
ENSG00000287870	0	0	0	0	0	0
ENSG00000232048	0	0	0	0	0	0
ENSG00000232857	0	0	0	0	0	0
ENSG00000273637	0	0	0	0	0	0
ENSG00000228838	2	3	0	0	2	0
ENSG00000283761	1	4	4	4	3	0
ENSG00000189433	10	12	26	0	0	0
ENSG00000142700	0	0	14	0	4	24
ENSG00000233514	0	0	0	0	0	0
ENSG00000127124	1389	920	1056	425	313	317
ENSG00000266993	27	18	18	0	0	0
ENSG00000229316	0	0	0	0	0	0
ENSG00000234099	0	0	0	0	0	0
ENSG00000137936	1500	1052	1421	299	240	294
ENSG00000232752	0	0	0	0	0	0
ENSG00000235829	0	0	0	0	0	0
ENSG00000143032	0	0	0	4	8	0
ENSG00000280040	0	0	6	0	0	0
ENSG00000117519	5006	4802	5706	3813	3779	4354
ENSG00000238037	0	0	0	0	0	0
ENSG00000134215	0	0	0	0	0	2
ENSG00000227935	0	0	0	0	0	0
ENSG00000228502	12	5	22	53	36	30
ENSG00000271277	0	0	0	0	0	0
ENSG00000236888	0	0	0	0	0	0
ENSG00000230828	0	0	0	0	0	0
ENSG00000152078	915	889	1165	300	329	384
ENSG00000171492	1009	718	926	250	360	382
ENSG00000233129	0	0	0	0	4	0
ENSG00000170989	6	11	0	2	6	0
ENSG00000237897	1	0	0	0	0	0
ENSG00000137962	12498	10336	11373	1952	2341	2882
ENSG00000286692	0	0	0	19	0	0
ENSG00000260464	4	3	2	10	2	0
ENSG00000231996	0	0	0	0	0	0
ENSG00000117154	0	0	0	0	0	0
ENSG00000162377	1151	1335	1100	180	188	212
ENSG00000116774	12	2	10	104	50	71
ENSG00000287756	2	0	0	0	0	0
ENSG00000284652	4	0	0	0	0	0
ENSG00000023909	1392	2432	1510	1942	1185	1136
ENSG00000069702	612	574	660	120	154	184
ENSG00000228399	2	0	0	16	2	2
ENSG00000236776	0	0	0	0	0	0
ENSG00000271252	0	0	0	0	0	0
ENSG00000235794	0	0	0	0	0	0
ENSG00000233983	0	0	0	0	0	0
ENSG00000116793	627	936	686	318	299	332
ENSG00000232918	0	0	0	0	0	0
ENSG00000183298	9	16	4	36	18	23
ENSG00000117525	997	973	1071	664	458	546
ENSG00000162699	0	0	0	0	0	0
ENSG00000203914	0	0	0	0	0	2
ENSG00000270457	0	0	0	0	0	0
ENSG00000231987	0	0	0	0	0	0
ENSG00000229842	0	0	0	0	0	0
ENSG00000198162	3043	3065	2961	811	547	563
ENSG00000171517	1594	1123	1446	407	423	650
ENSG00000203864	0	0	0	0	0	0
ENSG00000233482	0	0	0	0	0	0
ENSG00000143079	1550	1069	1302	180	199	178
ENSG00000232450	12	11	12	20	4	4
ENSG00000235038	0	0	0	0	0	0
ENSG00000173947	36	20	23	34	70	52
ENSG00000134198	80	51	69	27	13	32
ENSG00000279513	1	0	4	4	2	6
ENSG00000117620	700	672	732	185	236	169
ENSG00000162688	2081	2350	2092	583	451	717
ENSG00000197106	2026	1382	1575	215	330	257
ENSG00000231072	0	0	0	0	0	0
ENSG00000185946	300	230	246	121	171	129
ENSG00000162627	714	1078	972	516	684	713
ENSG00000265808	2846	2864	3345	2064	1517	1801
ENSG00000225923	0	0	0	0	0	0
ENSG00000134247	5681	6529	5388	1911	1469	1652
ENSG00000162664	1022	1322	1017	430	414	535
ENSG00000134253	227	180	246	28	80	36
ENSG00000223416	0	0	0	0	0	0
ENSG00000179571	2	0	0	0	0	0
ENSG00000227850	0	0	0	0	0	0
ENSG00000285532	4	0	1	0	0	0
ENSG00000226755	3	2	3	0	0	0
ENSG00000183508	488	322	474	487	473	346
ENSG00000277095	0	0	0	0	0	0
ENSG00000264145	0	0	0	0	0	0
ENSG00000238256	0	0	0	0	0	0
ENSG00000198765	0	0	0	0	0	0
ENSG00000143398	4458	4579	3897	5532	3564	2976
ENSG00000196505	809	841	728	467	277	394
ENSG00000223489	0	0	0	0	0	0
ENSG00000230546	0	0	0	0	0	0
ENSG00000213262	0	0	0	0	0	2
ENSG00000287015	0	0	0	0	0	4
ENSG00000235526	0	10	13	0	6	4
ENSG00000228347	0	0	0	0	0	0
ENSG00000236012	0	0	1	4	0	0
ENSG00000134200	0	0	0	0	0	0
ENSG00000065183	2444	2584	2488	640	640	753
ENSG00000226126	0	0	0	0	0	0
ENSG00000163156	526	545	652	1074	751	806
ENSG00000228453	0	0	0	0	0	0
ENSG00000261168	39	34	53	8	2	22
ENSG00000233432	0	0	0	0	0	0
ENSG00000229911	0	0	0	0	0	0
ENSG00000171943	205	218	204	32	103	68
ENSG00000270719	0	0	0	0	0	0
ENSG00000155761	0	8	3	1	16	0
ENSG00000116830	1162	2004	1224	345	332	337
ENSG00000234422	0	0	0	0	0	0
ENSG00000227091	0	1	4	0	0	0
ENSG00000081026	751	726	655	304	191	304
ENSG00000143458	635	546	655	80	94	45
ENSG00000230932	0	0	0	0	0	0
ENSG00000225036	0	0	0	0	0	0
ENSG00000250890	0	0	0	0	0	0
ENSG00000232240	0	0	0	0	0	0
ENSG00000234388	0	0	0	0	0	0
ENSG00000233717	0	0	0	0	0	0
ENSG00000163155	178	197	210	20	25	18
ENSG00000241975	19	14	19	7	4	0
ENSG00000270976	0	0	0	0	0	0
ENSG00000228217	1	1	1	0	1	0
ENSG00000270342	0	0	0	0	0	0
ENSG00000116824	0	0	0	0	0	0
ENSG00000235887	0	0	0	0	0	0
ENSG00000235756	0	0	0	0	0	0
ENSG00000173810	0	0	0	0	0	0
ENSG00000271890	0	0	0	0	0	0
ENSG00000283360	2	2	5	0	0	0
ENSG00000117262	183	179	191	476	275	260
ENSG00000227970	0	0	0	0	0	0
ENSG00000231613	0	0	1	4	4	3
ENSG00000236689	0	0	0	0	0	0
ENSG00000226028	0	0	0	0	0	0
ENSG00000203825	0	0	0	0	0	0
ENSG00000184371	596	342	479	126	100	48
ENSG00000233449	0	0	0	0	0	0
ENSG00000242943	0	0	0	0	0	0
ENSG00000232499	8	4	8	0	2	4
ENSG00000163154	5	3	2	6	0	0
ENSG00000232995	9	24	6	2	3	29
ENSG00000238087	0	0	0	0	0	0
ENSG00000143158	475	732	658	802	639	773
ENSG00000271092	15	15	19	0	0	0
ENSG00000232148	0	0	0	0	0	0
ENSG00000000460	435	617	417	232	300	356
ENSG00000135862	6969	5905	5926	2818	2579	2586
ENSG00000232952	1	0	2	0	0	2
ENSG00000260322	0	0	0	0	0	0
